Concurso,Data,Dez1,Dez2,Dez3,Dez4,Dez5,Dez6,Mega,Quina,Quadra,PremioSena,PremioQuina,PremioQuadra,Cidade
130,29/08/1998,13,29,38,42,49,53,0,155,11403,"R$0,00","R$11.796,24","R$160,03",
131,05/09/1998,4,9,17,27,30,44,0,361,21683,"R$0,00","R$6.811,67","R$113,19",
132,12/09/1998,7,9,35,41,44,50,0,143,12179,"R$0,00","R$20.846,64","R$244,29",
133,19/09/1998,5,6,19,34,39,57,1,431,29264,"R$30.533.241,12","R$10.035,16","R$147,51",
134,26/09/1998,4,25,32,36,52,60,0,82,4575,"R$0,00","R$10.253,38","R$183,42",
135,03/10/1998,21,22,35,40,53,59,0,40,3604,"R$0,00","R$24.573,18","R$272,19",
136,10/10/1998,1,17,25,38,45,59,0,126,7403,"R$0,00","R$8.435,36","R$143,29",
137,17/10/1998,15,16,19,22,26,49,0,88,6701,"R$0,00","R$12.675,49","R$166,13",
138,24/10/1998,5,14,27,37,40,41,0,86,6953,"R$0,00","R$14.074,36","R$173,74",
139,31/10/1998,3,13,26,27,41,42,2,179,9401,"R$3.902.486,14","R$7.216,46","R$137,14",
140,07/11/1998,7,31,41,44,46,55,0,45,4945,"R$0,00","R$36.581,33","R$332,24",
141,14/11/1998,10,13,22,41,42,58,0,119,10533,"R$0,00","R$20.106,10","R$226,70",
142,21/11/1998,8,15,19,20,54,59,0,162,13991,"R$0,00","R$18.143,56","R$209,66",
143,28/11/1998,6,18,20,40,50,53,0,144,10994,"R$0,00","R$24.792,99","R$324,10",
144,05/12/1998,8,32,36,44,45,55,1,257,23952,"R$33.597.755,21","R$20.952,14","R$224,38",
145,12/12/1998,15,16,31,41,43,51,0,71,3389,"R$0,00","R$15.061,27","R$314,91",
146,19/12/1998,25,32,34,42,51,60,0,51,4079,"R$0,00","R$23.923,45","R$298,52",
147,24/12/1998,6,16,23,24,28,38,1,75,5418,"R$3.805.750,38","R$11.760,17","R$162,48",
148,31/12/1998,32,35,41,55,58,59,0,15,2322,"R$0,00","R$53.660,04","R$345,95",
149,09/01/1999,7,11,20,28,45,48,0,106,6290,"R$0,00","R$9.795,13","R$164,74",
150,16/01/1999,12,44,50,52,54,55,0,56,5540,"R$0,00","R$36.378,71","R$367,00",
151,23/01/1999,3,16,20,43,52,56,1,152,9869,"R$24.091.811,02","R$14.678,07","R$225,62",
152,30/01/1999,5,12,15,29,51,58,0,75,5041,"R$0,00","R$11.562,39","R$172,03",
153,06/02/1999,2,30,31,42,45,47,0,47,4218,"R$0,00","R$22.846,45","R$254,57",
154,13/02/1999,8,10,24,33,45,48,0,144,9252,"R$0,00","R$7.888,29","R$122,78",
155,20/02/1999,12,30,32,35,43,44,1,67,4974,"R$4.988.808,21","R$16.126,32","R$217,22",
156,27/02/1999,17,23,42,49,52,55,0,74,4455,"R$0,00","R$11.018,10","R$183,02",
157,06/03/1999,4,13,17,21,41,44,1,134,8894,"R$2.140.030,92","R$7.224,03","R$108,84",
158,13/03/1999,4,14,17,43,51,58,0,31,3630,"R$0,00","R$25.856,53","R$220,81",
159,20/03/1999,9,11,16,35,50,58,1,57,4124,"R$2.038.170,67","R$15.735,49","R$217,49",PR
160,27/03/1999,2,13,42,52,54,58,0,74,6132,"R$0,00","R$19.431,89","R$234,50",
161,03/04/1999,6,25,30,37,39,41,0,95,6865,"R$0,00","R$14.430,61","R$199,69",
162,10/04/1999,21,23,33,38,48,51,0,92,7244,"R$0,00","R$20.941,30","R$265,96",
163,17/04/1999,8,27,36,41,53,56,2,146,10793,"R$8.975.833,36","R$15.657,23","R$211,80",
164,24/04/1999,4,10,14,19,28,44,0,111,8386,"R$0,00","R$7.595,63","R$100,54",
165,01/05/1999,10,19,23,35,39,56,2,75,5378,"R$1.044.444,54","R$11.968,35","R$166,91",
166,08/05/1999,12,13,22,57,59,60,0,47,3371,"R$0,00","R$17.424,67","R$242,95",
167,15/05/1999,1,11,28,33,38,48,1,82,4997,"R$2.100.980,21","R$11.364,11","R$186,48",
168,22/05/1999,2,9,31,35,45,50,0,48,3528,"R$0,00","R$15.743,70","R$214,20",
169,29/05/1999,1,13,21,37,51,52,0,65,4489,"R$0,00","R$13.679,08","R$198,07",
170,05/06/1999,7,41,46,51,55,58,0,50,6257,"R$0,00","R$32.383,95","R$258,78",
171,12/06/1999,4,27,40,43,46,54,1,134,10378,"R$16.052.410,83","R$14.983,30","R$193,46",
172,19/06/1999,10,14,26,35,36,49,0,64,4592,"R$0,00","R$13.460,12","R$186,89",
173,26/06/1999,17,28,29,42,49,50,1,40,3610,"R$2.148.316,42","R$23.220,41","R$256,32",
174,03/07/1999,11,22,23,36,52,59,0,44,3217,"R$0,00","R$17.846,85","R$243,18",
175,10/07/1999,1,10,13,20,42,50,0,114,7058,"R$0,00","R$8.094,08","R$130,25",
176,17/07/1999,1,3,4,28,45,53,0,62,5405,"R$0,00","R$16.696,39","R$190,80",
177,24/07/1999,22,35,38,39,41,59,0,52,4408,"R$0,00","R$21.716,29","R$255,21",
178,31/07/1999,5,15,19,26,27,33,1,198,13086,"R$6.129.539,43","R$6.240,11","R$94,07",
179,07/08/1999,5,6,23,26,27,53,0,78,5646,"R$0,00","R$10.281,59","R$141,51",
180,14/08/1999,6,23,29,39,51,60,0,111,6978,"R$0,00","R$15.907,98","R$252,09",
181,21/08/1999,1,27,33,35,51,55,0,182,11797,"R$0,00","R$11.127,07","R$171,02",
182,28/08/1999,3,5,10,28,46,60,0,239,17413,"R$0,00","R$9.954,78","R$136,13",
183,04/09/1999,2,7,11,16,40,44,0,306,20677,"R$0,00","R$9.468,79","R$139,60",
184,11/09/1999,9,16,21,34,41,60,0,217,15462,"R$0,00","R$14.699,97","R$205,53",
185,18/09/1999,17,22,43,46,55,59,0,366,24849,"R$0,00","R$12.275,86","R$180,13",
186,25/09/1999,14,23,24,25,26,51,0,352,31164,"R$0,00","R$17.072,24","R$192,10",
187,02/10/1999,6,36,41,44,48,58,0,397,39365,"R$0,00","R$23.058,35","R$231,66",
188,10/10/1999,17,27,34,42,43,46,1,1200,90235,"R$64.905.517,65","R$11.517,11","R$152,58",
189,16/10/1999,4,15,31,38,41,53,0,61,5485,"R$0,00","R$23.476,18","R$260,09",
190,24/10/1999,5,10,21,32,40,42,0,304,21481,"R$0,00","R$14.923,96","R$210,41",
191,31/10/1999,1,3,5,23,41,58,1,383,30477,"R$50.968.412,58","R$13.212,41","R$165,41",
192,06/11/1999,1,26,28,41,54,60,0,53,4403,"R$0,00","R$23.005,08","R$275,87",
193,13/11/1999,4,11,12,19,43,49,0,190,11415,"R$0,00","R$7.199,87","R$119,39",
194,20/11/1999,25,28,32,33,42,43,0,106,7456,"R$0,00","R$12.862,40","R$182,18",
195,27/11/1999,3,9,17,32,37,44,1,339,13819,"R$6.370.250,64","R$4.005,56","R$97,89",AM
196,04/12/1999,7,9,14,17,24,32,0,182,10493,"R$0,00","R$5.309,16","R$91,75",
197,11/12/1999,5,12,15,19,29,52,0,128,8720,"R$0,00","R$8.259,15","R$120,78",
198,18/12/1999,1,8,18,23,35,40,0,125,7134,"R$0,00","R$8.881,02","R$155,02",
