Concurso,Data,dezena1,dezena2,dezena3,dezena4,dezena5,dezena6,Mega,Quina,Quadra,Cidade
290,25/08/2001,7,25,26,30,40,57,0,56,4869,
291,29/08/2001,5,16,17,18,22,41,0,71,4870,
292,01/09/2001,13,23,24,34,45,53,0,116,8670,
293,05/09/2001,5,6,7,12,28,35,0,167,10185,
294,08/09/2001,22,25,28,41,45,57,2,130,7434,PR   SP
295,12/09/2001,7,12,24,31,44,50,0,36,2055,
296,15/09/2001,3,20,42,46,51,52,0,29,2348,
297,19/09/2001,1,20,28,33,36,41,0,25,1920,
298,22/09/2001,5,22,23,24,34,60,1,50,4372,PR
299,26/09/2001,2,5,7,33,49,53,0,33,2049,
300,29/09/2001,24,27,28,38,41,57,0,48,4820,
301,03/10/2001,9,26,48,49,57,58,0,28,2892,
302,06/10/2001,12,25,30,40,41,60,0,101,6361,
303,10/10/2001,7,13,17,30,37,47,1,215,12861,MS
304,13/10/2001,7,11,34,41,42,59,0,58,3274,
305,17/10/2001,5,11,27,38,53,60,0,47,3770,
306,20/10/2001,19,30,41,47,56,57,0,28,2294,
307,24/10/2001,13,16,17,26,41,44,0,44,3962,
308,27/10/2001,4,11,25,29,39,55,1,62,5173,RS
309,31/10/2001,4,11,25,39,50,55,1,3001,2997,RS
310,03/11/2001,2,14,28,29,31,32,0,81,5093,
311,07/11/2001,22,24,30,32,38,41,0,31,2871,
312,10/11/2001,14,23,30,41,47,50,0,76,4985,
313,14/11/2001,14,16,24,37,38,53,0,61,5547,
314,17/11/2001,5,32,34,37,40,58,0,93,5542,
315,21/11/2001,12,21,22,28,43,50,1,43,4598,PR
316,24/11/2001,6,24,28,43,51,56,0,104,4093,
317,28/11/2001,16,20,27,30,35,48,0,23,2088,
318,01/12/2001,3,19,20,31,40,53,1,46,3071,SP
319,05/12/2001,12,16,17,19,23,48,0,52,3342,
320,08/12/2001,20,22,27,47,50,53,0,77,4916,
321,12/12/2001,4,11,31,32,48,49,0,55,3729,
322,15/12/2001,11,18,29,44,47,56,0,87,7835,
323,19/12/2001,26,31,33,40,49,54,0,56,4244,
324,22/12/2001,8,15,22,25,30,47,0,211,12192,
325,29/12/2001,1,3,4,21,23,53,2,256,15646,AM   SP
326,05/01/2002,21,23,40,44,51,52,0,27,2674,
327,09/01/2002,29,32,33,38,46,48,0,16,2112,
